JD V-C s1
2458126.22243 -0.09398 0.0029
2458126.22518 -0.09576 0.0028
2458126.22794 -0.09178 0.0027
2458126.23069 -0.09236 0.0027
2458126.23345 -0.09284 0.0026
2458126.23620 -0.09318 0.0025
2458126.23896 -0.09605 0.0024
2458126.24171 -0.09595 0.0024
2458126.24446 -0.09287 0.0024
2458126.24733 -0.09400 0.0024
2458126.25120 -0.09339 0.0023
2458126.25395 -0.09738 0.0023
2458126.25671 -0.09621 0.0022
2458126.25946 -0.09192 0.0024
2458126.26222 -0.09467 0.0022
2458126.26497 -0.09751 0.0021
2458126.26776 -0.09717 0.0022
2458126.27075 -0.09656 0.0020
2458126.27351 -0.09419 0.0020
2458126.27626 -0.09421 0.0020
2458126.27901 -0.09748 0.0020
2458126.28177 -0.09416 0.0020
2458126.28452 -0.09534 0.0020
2458126.28728 -0.09488 0.0020
2458126.29003 -0.09304 0.0019
2458126.29279 -0.09228 0.0019
2458126.29554 -0.09206 0.0018
2458126.29829 -0.09355 0.0018
2458126.30105 -0.09254 0.0018
2458126.30380 -0.09336 0.0017
2458126.30656 -0.09224 0.0017
2458126.30931 -0.09196 0.0018
2458126.31206 -0.09115 0.0019
2458126.31482 -0.08926 0.0020
2458126.31757 -0.08882 0.0021
2458126.32032 -0.08736 0.0022
2458126.32308 -0.08963 0.0021
2458126.32583 -0.08759 0.0020
2458126.32859 -0.08756 0.0020
2458126.33134 -0.08864 0.0019
2458126.33410 -0.08544 0.0018
2458126.33685 -0.08640 0.0016
2458126.33961 -0.08737 0.0016
2458126.34236 -0.08745 0.0016
2458126.34511 -0.08674 0.0016
2458126.34787 -0.08704 0.0016
2458126.35062 -0.08672 0.0016
2458126.35337 -0.08903 0.0015
2458126.35613 -0.08929 0.0015
2458126.35888 -0.08792 0.0015
2458126.36164 -0.08745 0.0014
2458126.36439 -0.08471 0.0014
2458126.36715 -0.08782 0.0014
2458126.36990 -0.08784 0.0014
2458126.37265 -0.08742 0.0014
2458126.37541 -0.08583 0.0014
2458126.37816 -0.08663 0.0013
2458126.38092 -0.08604 0.0014
2458126.38367 -0.08679 0.0013
2458126.38642 -0.08750 0.0013
2458126.38918 -0.08586 0.0013
2458126.39193 -0.08760 0.0013
2458126.39469 -0.08683 0.0013
2458126.39744 -0.09062 0.0013
2458126.40019 -0.08910 0.0013
2458126.40295 -0.08817 0.0013
2458126.40570 -0.08889 0.0013
2458126.40846 -0.08942 0.0013
2458126.41121 -0.08587 0.0013
2458126.41408 -0.08984 0.0013
2458126.41729 -0.08802 0.0014
2458126.41967 -0.09000 0.0014
2458126.42205 -0.08729 0.0014
2458126.42443 -0.08699 0.0014
2458126.42682 -0.09124 0.0014
2458126.42920 -0.08989 0.0014
2458126.43158 -0.08848 0.0014
2458126.43396 -0.09012 0.0014
2458126.43634 -0.09000 0.0014
2458126.43872 -0.08900 0.0014
2458126.44110 -0.09016 0.0014
2458126.44348 -0.08917 0.0014
2458126.44586 -0.09074 0.0014
2458126.44824 -0.09192 0.0014
2458126.45062 -0.09392 0.0014
2458126.45301 -0.09395 0.0014
2458126.45539 -0.09406 0.0014
2458126.45777 -0.09526 0.0014
2458126.46015 -0.09663 0.0014
2458126.46253 -0.09473 0.0013
2458126.46491 -0.09341 0.0013
2458126.46729 -0.09456 0.0013
2458126.46967 -0.09371 0.0013
2458126.47205 -0.09222 0.0013
2458126.47444 -0.09539 0.0013
2458126.47682 -0.09577 0.0013
2458126.47920 -0.09557 0.0013
2458126.48158 -0.09417 0.0013
2458126.48396 -0.09458 0.0013
2458126.48634 -0.09309 0.0013
2458126.48872 -0.09632 0.0013
2458126.49110 -0.09479 0.0013
2458126.49348 -0.09369 0.0013
2458126.49586 -0.09597 0.0013
2458126.49825 -0.09442 0.0013
